"","Algorithm","Solved","Expanded","Generated","Seconds","Rate"
"1","Negamax",17,41327499,57882248.4117647,35.9632352941176,1755385
"2","Negamax (w alpha-beta)",20,12127164.25,20105253,8.45935,2139162.5
"3","Scout",20,8718393.45,14794438.55,4.69026795000425,2840952
"4","Negascout",20,7951249.7,13517006.45,4.275854999985,3498621.1
