"","Algorithm","Solved","Expanded","Generated","Seconds","Rate"
"1","Negamax",17,41327499,57882248.4117647,35.9632352941176,1755385
"2","Negamax (w alpha-beta)",20,12127164.25,20105253,8.45935,2139162.5
"3","Scout",21,115281667.904762,194975424.238095,61.3759694761945,2857026.19047619
"4","Negascout",21,112057567.904762,189704396.52381,59.4774809523667,3484001.04761905
