"","Algorithm","Solved","Expanded","Generated","Seconds","Rate"
"1","Negamax",17,41327499,57882248.4117647,35.9632352941176,1755385
"2","Negamax (w alpha-beta)",17,323361.058823529,528759.176470588,0.229764705882353,2000032
"3","Scout",17,245585.882352941,419514.647058824,0.136861705887353,2787607.05882353
"4","Negascout",17,222149,380429.823529412,0.123032352923529,3559570.11764706
